user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Sakinaw_120m_May2011_bin.39	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	GCA_000402295.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	96.62	0.72	GCA_000402295.1	95.0	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__Aerophobaceae;g__Aerophobus;s__Aerophobus profundus	96.62	0.72	d__Bacteria;p__Aerophobota;c__Aerophobia;o__Aerophobales;f__;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	70.26	11	N/A	N/A
Sakinaw_120m_May2011_bin.41	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303765.1	95.0	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__SM23-39;s__SM23-39 sp001303765	76.1	0.06	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	75.22	11	0.7908450752180914	N/A
Sakinaw_120m_May2011_bin.42	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	74.27	11	0.8748147950184193	N/A
Sakinaw_120m_May2011_bin.44	d__Bacteria;p__Omnitrophota;c__Koll11;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	71.75	11	0.4885125670925649	N/A
Sakinaw_120m_May2011_bin.45	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_903843285.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__CAIMPC01;s__CAIMPC01 sp903843285	76.31	0.08	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.8	11	0.850490374389597	N/A
Sakinaw_120m_May2011_bin.47	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009923125.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__RGVT01 sp009923125	82.77	0.66	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__RGVT01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_010027105.1, s__RGVT01 sp010027105, 95.0, 82.56, 0.65; GCA_009926295.1, s__RGVT01 sp009926295, 95.0, 81.98, 0.59	82.21	11	0.9696528767295246	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Sakinaw_120m_May2011_bin.5	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__SKK-01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__SKK-01;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	83.11	11	0.8609435210208982	N/A
Sakinaw_120m_May2011_bin.50	d__Bacteria;p__Thermotogota;c__Thermotogae;o__MWEM01;f__MWEM01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.96	11	0.7212692494925714	N/A
Sakinaw_120m_May2011_bin.52	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	GCA_009694435.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.47	0.9	GCA_009694435.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__SHUY01;s__SHUY01 sp009694435	97.47	0.9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-555;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.45	11	N/A	N/A
Sakinaw_120m_May2011_bin.53	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAAYJT01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012522795.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAAYJT01;g__JAAYJT01;s__JAAYJT01 sp012522795	74.95	0.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.89	11	0.8443330798824432	N/A
Sakinaw_120m_May2011_bin.54	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_014360385.1	95.0	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__JACIXO01;s__JACIXO01 sp014360385	75.86	0.05	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.31	11	0.8277900400058471	N/A
Sakinaw_120m_May2011_bin.56	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_000403035.1	95.0	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__Latescibacterales;f__Latescibacteraceae;g__Latescibacter;s__Latescibacter anaerobius	82.23	0.06	d__Bacteria;p__Latescibacterota;c__Latescibacteria;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.55	11	0.8645455411677654	N/A
Sakinaw_120m_May2011_bin.57	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014382125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__QYOJ01 sp014382125	76.13	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_007280875.1, s__QYOJ01 sp007280875, 95.0, 76.41, 0.08	76.97	11	0.9390445063447274	N/A
Sakinaw_120m_May2011_bin.58	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.97	11	0.7242142822805913	N/A
Sakinaw_120m_May2011_bin.6	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	80.8	11	0.8390528466968841	N/A
Sakinaw_120m_May2011_bin.62	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__GWF2-38-69;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001803205.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__GWF2-38-69;g__GWF2-38-69;s__GWF2-38-69 sp001803205	75.36	0.02	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	80.94	11	0.7575828803564375	N/A
Sakinaw_120m_May2011_bin.63	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_903843285.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__CAIMPC01;s__CAIMPC01 sp903843285	76.5	0.06	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__2-01-FULL-45-10;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	69.86	11	0.832457926010928	N/A
Sakinaw_120m_May2011_bin.65	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__UBA12409;s__	N/A	N/A	N/A	N/A	N/A	GCA_000991575.1	95.0	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__UBA12409;s__UBA12409 sp000991575	77.39	0.3	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	72.64	11	0.9224614019109486	N/A
Sakinaw_120m_May2011_bin.68	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__RBG-13-46-9;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1560;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	70.4	11	0.7712142726518249	N/A
Sakinaw_120m_May2011_bin.69	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	GCA_003669585.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	98.98	0.99	GCA_003669585.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__QWOQ01;s__QWOQ01 sp003669585	98.98	0.99	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	85.75	11	N/A	N/A
Sakinaw_120m_May2011_bin.70	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA11386;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA11386;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.89	11	0.8116945914245075	N/A
Sakinaw_120m_May2011_bin.82	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp002737405	GCA_002737405.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp002737405	97.99	0.92	GCA_002737405.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__BAIKAL-G1-2R sp002737405	97.99	0.92	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__BAIKAL-G1-2R;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003670915.1, s__BAIKAL-G1-2R sp003670915, 95.0, 78.19, 0.16; GCA_903877395.1, s__BAIKAL-G1-2R sp903877395, 95.0, 78.05, 0.16; GCA_003670865.1, s__BAIKAL-G1-2R sp003670865, 95.0, 77.14, 0.19	78.62	11	N/A	N/A
Sakinaw_120m_May2011_bin.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__CG2-30-32-10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	97.46	11	0.8266322597004765	N/A
Sakinaw_120m_May2011_bin.93	d__Bacteria;p__Patescibacteria;c__UBA1384;o__CAILIB01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_903834195.1	95.0	d__Bacteria;p__Patescibacteria;c__UBA1384;o__CAILIB01;f__CAILIB01;g__CAILIB01;s__CAILIB01 sp903834195	82.67	0.01	d__Bacteria;p__Patescibacteria;c__UBA1384;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	66.25	11	0.6558337293962824	N/A
sak_2010_1_5_120m_metaG_bin.3	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003545155.1	95.0	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__UBA9294;s__UBA9294 sp003545155	77.14	0.08	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	64.22	11	0.8191806509222489	N/A
sak_2010_1_5_120m_metaG_bin.7	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	87.77	11	0.6992536746269972	N/A
sak_2010_1_5_45m_metaG_bin.11	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249785.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__UBA2284 sp003249785	78.55	0.34	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003518475.1, s__UBA2284 sp003518475, 95.0, 78.08, 0.21; GCA_002839095.1, s__UBA2284 sp002839095, 95.0, 77.99, 0.25; GCA_002345705.1, s__UBA2284 sp002345705, 95.0, 77.82, 0.25; GCA_006226985.1, s__UBA2284 sp006226985, 95.0, 77.76, 0.29; GCA_001830045.1, s__UBA2284 sp001830045, 95.0, 77.67, 0.17; GCA_002418725.1, s__UBA2284 sp002418725, 95.0, 77.24, 0.16; GCA_003605085.1, s__UBA2284 sp003605085, 95.0, 77.11, 0.12; GCA_002422045.1, s__UBA2284 sp002422045, 95.0, 76.89, 0.1; GCA_002424575.1, s__UBA2284 sp002424575, 95.0, 76.62, 0.17	87.29	11	0.9714134835562784	N/A
sak_2010_1_5_45m_metaG_bin.12	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	92.36	11	0.6978033543540401	N/A
sak_2010_1_5_45m_metaG_bin.17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	N/A	N/A	N/A	N/A	N/A	GCA_003249785.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__UBA2284 sp003249785	78.57	0.34	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__UBA2284;s__	taxonomic classification defined by topology and ANI	N/A	GCA_006226985.1, s__UBA2284 sp006226985, 95.0, 78.7, 0.21; GCA_002345705.1, s__UBA2284 sp002345705, 95.0, 78.0, 0.21; GCA_003518475.1, s__UBA2284 sp003518475, 95.0, 77.96, 0.14; GCA_002839095.1, s__UBA2284 sp002839095, 95.0, 77.81, 0.26; GCA_001830045.1, s__UBA2284 sp001830045, 95.0, 77.22, 0.16; GCA_002418725.1, s__UBA2284 sp002418725, 95.0, 76.96, 0.12; GCA_002424575.1, s__UBA2284 sp002424575, 95.0, 76.88, 0.1; GCA_003605085.1, s__UBA2284 sp003605085, 95.0, 76.59, 0.11; GCA_002422045.1, s__UBA2284 sp002422045, 95.0, 76.29, 0.06	85.29	11	0.9762391120932538	N/A
sak_2010_1_5_45m_metaG_bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_007280875.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__QYOJ01 sp007280875	77.25	0.25	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__QYOJ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_014382125.1, s__QYOJ01 sp014382125, 95.0, 76.44, 0.14	93.01	11	0.9388733671536711	N/A
sak_2010_1_5_45m_metaG_bin.23	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.59	0.93	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.27	11	0.9454296474814906	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
sak_2010_1_5_45m_metaG_bin.29	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__;s__	taxonomic novelty determined using RED	N/A	N/A	73.08	11	0.8344106907176256	N/A
sak_2010_1_5_45m_metaG_bin.3	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	86.16	11	0.7086117606243517	N/A
sak_2010_1_5_45m_metaG_bin.33	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__UBA6249;s__	N/A	N/A	N/A	N/A	N/A	GCA_002796135.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__UBA6249;s__UBA6249 sp002796135	77.97	0.41	d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__UBA6249;g__UBA6249;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002441245.1, s__UBA6249 sp002441245, 95.0, 77.86, 0.37; GCA_903907475.1, s__UBA6249 sp903907475, 95.0, 76.93, 0.23; GCA_002441305.1, s__UBA6249 sp002441305, 95.0, 76.87, 0.09; GCA_903852325.1, s__UBA6249 sp903852325, 95.0, 76.75, 0.21; GCA_004298075.1, s__UBA6249 sp004298075, 95.0, 76.46, 0.12	74.71	11	0.9399045989816268	N/A
sak_2010_1_5_45m_metaG_bin.34	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.57	11	0.7068052977393233	N/A
sak_2010_1_5_45m_metaG_bin.35	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__UBA1067;g__;s__	taxonomic novelty determined using RED	N/A	N/A	78.9	11	0.860410589033154	N/A
sak_2010_1_5_45m_metaG_bin.38	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__B18-G4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.64	11	0.8412838904699242	N/A
